data/sessions/maps/pool/moderate/moderate_archipel_ll_01/moderate_archipel_ll_01.a7t    xy:(2048, 2048), playable:(203, 203, 1853, 1853)
       x     y  type  id  sz
data/sessions/maps/pool/moderate/moderate_archipel_ml_01/moderate_archipel_ml_01.a7t    xy:(2048, 2048), playable:(328, 328, 1720, 1720)
       x     y  type  id  sz
0   1040  1296     1   1   2
1    640  1288     1   1   2
2   1048   584     1   0   1
3   1440   792     1   0   1
4    632   880     1   1   2
5    360   360     1   1   2
6   1496  1312     1   3   0
7   1424   576     1   0   0
8   1032  1264     2   0   0
9    384  1136     1   0   0
10  1032   872     1   0   2
11  1424  1096     1   3   0
12   360  1400     1   0   1
13  1440  1512     1   3   0
14  1176   352     1   0   0
15   760   480     1   0   1
16   352   816     1   0   1
17  1504   344     1   4   0
18   712   816     2   0   0
19  1032  1296     2   0   0
20   664   816     2   0   0
data/sessions/maps/pool/moderate/moderate_archipel_mm_01/moderate_archipel_mm_01.a7t    xy:(2048, 2048), playable:(368, 368, 1680, 1680)
       x     y  type  id  sz
0    744   400     1   3   0
1    648   600     1   1   2
2    376   376     1   0   1
3   1360  1112     1   0   1
4   1392  1392     1   0   1
5   1048   656     1   1   2
6   1448   384     1   4   0
7    384  1408     1   4   0
8    992  1024     2   0   0
9    904  1440     1   3   0
10   976  1048     1   1   2
11  1448   864     1   3   0
12   584  1008     1   1   2
13   384   736     1   3   0
14   384  1072     1   3   0
15  1040   376     1   0   1
16   624  1400     1   0   1
17  1152  1440     1   3   0
18  1440   616     1   3   0
19  1024  1024     2   0   0
20  1024   992     2   0   0
21   992   992     2   0   0
data/sessions/maps/pool/moderate/moderate_archipel_ms_01/moderate_archipel_ms_01.a7t    xy:(2048, 2048), playable:(368, 368, 1680, 1680)
       x     y  type  id  sz
0    400  1456     1   4   0
1   1448  1440     1   4   0
2    728   696     1   1   1
3    912   408     1   0   1
4   1120  1344     1   0   1
5   1200   488     1   3   0
6    680   440     1   3   0
7   1392  1080     1   3   0
8   1016  1040     2   0   0
9    400  1056     1   3   0
10   872  1392     1   3   0
11   632  1384     1   3   0
12   408   720     1   0   1
13   416   456     1   4   0
14  1432   416     1   4   0
15  1072   728     1   1   1
16  1096  1032     1   1   1
17  1392   808     1   3   0
18   720  1040     1   1   1
19  1048  1040     2   0   0
20  1016  1008     2   0   0
21  1048  1008     2   0   0
data/sessions/maps/pool/moderate/moderate_archipel_sl_01/moderate_archipel_sl_01.a7t    xy:(2048, 2048), playable:(434, 434, 1634, 1634)
       x     y  type  id  sz
0   1232   912     2   0   0
1   1376  1384     1   3   0
2   1088  1392     1   3   0
3    448   736     1   3   0
4    760   456     1   3   0
5   1384   472     1   3   0
6    464  1392     1   3   0
7   1352   664     1   0   1
8    440   936     1   0   1
9    792   840     1   1   2
10   448   456     1   4   0
11   968   448     1   1   2
12   656   648     1   0   0
13   664  1232     1   1   2
14  1224   984     1   1   2
15  1264   880     2   0   0
16  1104  1344     2   0   0
17  1136  1312     2   0   0
data/sessions/maps/pool/moderate/moderate_archipel_sm_01/moderate_archipel_sm_01.a7t    xy:(2048, 2048), playable:(424, 424, 1644, 1644)
       x     y  type  id  sz
0   1024  1064     2   0   0
1   1432  1440     1   4   0
2   1360   800     1   3   0
3   1024  1032     2   0   0
4    496  1376     1   3   0
5    448   448     1   4   0
6    760  1392     1   3   0
7   1024  1360     1   0   1
8    736   456     1   0   1
9   1416   464     1   3   0
10   472  1096     1   3   0
11  1056  1032     2   0   0
12  1072   744     1   1   1
13   736  1080     1   1   1
14   736   744     1   1   1
15  1064  1080     1   1   1
16  1056  1064     2   0   0
17   440   696     1   0   1
18  1344  1048     1   0   1
19  1160   512     1   3   0
data/sessions/maps/pool/moderate/moderate_archipel_ss_01/moderate_archipel_ss_01.a7t    xy:(2048, 2048), playable:(434, 434, 1634, 1634)
       x     y  type  id  sz
0   1416   456     1   4   0
1    816   464     1   3   0
2   1352  1056     1   3   0
3    448   448     1   4   0
4   1416  1424     1   4   0
5    480   800     1   3   0
6    752  1328     1   3   0
7    720  1008     1   1   1
8   1048  1064     1   1   1
9   1008  1352     1   0   0
10   464  1416     1   4   0
11  1032  1040     2   0   0
12   712   704     1   1   1
13  1056   760     1   1   1
14   488  1048     1   0   0
15  1072   520     1   0   0
16  1352   760     1   0   0
17  1000   984     2   0   0
18  1000  1016     2   0   0
19  1032  1008     2   0   0
data/sessions/maps/pool/moderate/moderate_atoll_ll_01/moderate_atoll_ll_01.a7t    xy:(2560, 2560), playable:(200, 200, 2360, 2360)
       x     y  type  id  sz
0   1152   240     1   1   2
1    264  1056     1   1   2
2   1040  1872     1   1   2
3   1904  1056     1   1   2
4    432  1672     1   0   2
5    552   424     1   0   2
6   1720  1664     1   0   2
7    848  1216     2   0   0
8   1736   368     1   0   2
9   1208   632     1   0   1
10   664  1384     1   0   1
11  1440  1888     1   0   1
12  1912   760     1   0   1
13   264   776     1   0   1
14  1624  1384     1   0   1
15   736  2064     1   3   0
16   832  1864     1   3   0
17   408  1464     1   3   0
18  1912  1456     1   3   0
19  1192  1144     1   4   0
20  1544   392     1   3   0
21   952   312     1   3   0
22   952   520     1   3   0
23  1712   768     1   3   0
24  1240  1712     2   0   0
25  1736  1192     2   0   0
26  1512   768     2   0   0
data/sessions/maps/pool/moderate/moderate_atoll_lm_01/moderate_atoll_lm_01.a7t    xy:(2560, 2560), playable:(200, 200, 2360, 2360)
       x     y  type  id  sz
0   1152   240     1   1   2
1    264  1056     1   1   2
2   1040  1872     1   1   2
3   1904  1056     1   1   2
4    520  1696     1   0   1
5    952   520     1   3   0
6   1712   768     1   3   0
7    968  1240     2   0   0
8    952   312     1   3   0
9   1208   632     1   0   1
10   672  1392     1   0   1
11  1432  1872     1   0   1
12  1912   760     1   0   1
13   448   760     1   0   1
14  1624  1384     1   0   1
15   744  2008     1   3   0
16   840  1784     1   3   0
17   400  1472     1   3   0
18  1912  1456     1   3   0
19  1208  1144     1   4   0
20  1544   392     1   3   0
21  1744   472     1   0   1
22   656   480     1   0   1
23  1736  1672     1   0   1
24  1264  1560     2   0   0
25  1584  1232     2   0   0
26  1280   936     2   0   0
data/sessions/maps/pool/moderate/moderate_atoll_ls_01/moderate_atoll_ls_01.a7t    xy:(2560, 2560), playable:(200, 200, 2360, 2360)
       x     y  type  id  sz
0    320  1096     1   1   1
1   1176   288     1   1   1
2   1696  1552     1   0   2
3   1960  1088     1   1   1
4    520  1480     1   0   1
5    712   672     1   3   0
6   1912   624     1   3   0
7    752  1216     2   0   0
8    984   352     1   3   0
9   1640   392     1   0   1
10   848  1848     1   0   0
11  1912   816     1   0   1
12   712   400     1   0   1
13   440   624     1   0   1
14   656  1752     1   0   0
15  1040  1864     1   1   1
16   472   904     1   3   0
17   328  1368     1   3   0
18  1952  1360     1   3   0
19  1208  1120     1   4   0
20  1448   344     1   3   0
21  1504  1800     1   0   0
22  1312  1872     1   0   0
23  1296  1728     2   0   0
24  1784  1216     2   0   0
25  1304   696     2   0   0
data/sessions/maps/pool/moderate/moderate_atoll_ml_01/moderate_atoll_ml_01.a7t    xy:(2048, 2048), playable:(200, 200, 1848, 1848)
       x     y  type  id  sz
0   1456   952     1   0   2
1    216   960     1   1   2
2    280   384     1   1   2
3   1400   376     1   1   2
4    816  1456     1   1   2
5    664   240     1   0   1
6   1200  1376     1   0   1
7    544  1376     1   0   1
8   1128   232     1   0   1
9   1000   800     1   4   0
10  1472  1336     1   3   0
11   352  1344     1   3   0
12   936   216     1   3   0
13  1552   760     1   3   0
14   312   768     1   3   0
15   848   952     1   4   0
16  1000  1336     2   0   0
17   704  1120     2   0   0
18  1336   888     2   0   0
19   824   672     2   0   0
data/sessions/maps/pool/moderate/moderate_atoll_mm_01/moderate_atoll_mm_01.a7t    xy:(2048, 2048), playable:(200, 200, 1848, 1848)
       x     y  type  id  sz
0    288   776     1   3   0
1    496   312     1   3   0
2    336   504     1   1   1
3    688   232     1   0   2
4    872  1448     1   1   1
5   1080   256     1   1   1
6   1160  1400     1   0   1
7    592  1392     1   0   1
8   1424   544     1   1   1
9    936   904     1   4   0
10  1440  1400     1   3   0
11   392  1368     1   3   0
12  1360   344     1   3   0
13  1536   816     1   3   0
14  1408  1008     1   0   2
15   272   984     1   0   2
16   808   704     2   0   0
17   784  1208     2   0   0
18  1224  1200     2   0   0
19  1224   704     2   0   0
data/sessions/maps/pool/moderate/moderate_atoll_ms_01/moderate_atoll_ms_01.a7t    xy:(2048, 2048), playable:(200, 200, 1848, 1848)
       x     y  type  id  sz
0   1496  1056     1   0   1
1    896   256     1   1   1
2    272   960     1   1   1
3    312   352     1   0   2
4    904  1464     1   1   1
5   1168   336     1   0   0
6    712  1496     1   0   0
7   1184  1440     1   0   0
8   1424   584     1   1   1
9    936   904     1   4   0
10  1384  1336     1   3   0
11   384  1248     1   3   0
12  1360   384     1   3   0
13  1544   856     1   3   0
14   376   736     1   3   0
15   704   344     1   3   0
16   520  1440     1   0   0
17  1032  1344     2   0   0
18   680  1000     2   0   0
19  1392   952     2   0   0
20  1024   672     2   0   0
data/sessions/maps/pool/moderate/moderate_atoll_sl_01/moderate_atoll_sl_01.a7t    xy:(1536, 1536), playable:(100, 100, 1436, 1436)
       x     y  type  id  sz
0    104   104     1   0   2
1   1048   104     1   0   2
2    592  1040     1   0   2
3    864   152     1   4   0
4    480   152     1   4   0
5    672   112     1   4   0
6   1160   488     1   3   0
7    184   488     1   3   0
8    976  1216     1   3   0
9    400  1216     1   3   0
10  1064   944     1   1   1
11   248   944     1   1   1
12  1120   680     1   1   1
13   136   672     1   1   1
14   792   848     2   0   0
15   760   848     2   0   0
16   760   816     2   0   0
17   792   816     2   0   0
data/sessions/maps/pool/moderate/moderate_atoll_sm_01/moderate_atoll_sm_01.a7t    xy:(1536, 1536), playable:(100, 100, 1436, 1436)
       x     y  type  id  sz
0    760   840     2   0   0
1    136   648     1   1   1
2    592  1040     1   0   2
3    864   152     1   4   0
4    480   152     1   4   0
5    672   112     1   4   0
6   1160   456     1   3   0
7    184   456     1   3   0
8    976  1192     1   3   0
9    400  1192     1   3   0
10  1064   920     1   1   1
11   248   920     1   1   1
12  1120   648     1   1   1
13   288   264     1   0   0
14  1056   264     1   0   0
15   760   808     2   0   0
16   792   808     2   0   0
17   792   840     2   0   0
data/sessions/maps/pool/moderate/moderate_atoll_ss_01/moderate_atoll_ss_01.a7t    xy:(1536, 1536), playable:(100, 100, 1436, 1436)
       x     y  type  id  sz
0    760   856     2   0   0
1    136   624     1   1   1
2   1056   240     1   0   0
3    864   152     1   4   0
4    480   152     1   4   0
5    672   112     1   4   0
6   1160   432     1   3   0
7    184   432     1   3   0
8    912  1168     1   3   0
9    448  1168     1   3   0
10  1064   896     1   1   1
11   248   896     1   1   1
12  1120   624     1   1   1
13   288   240     1   0   0
14   640  1152     1   0   1
15   792   856     2   0   0
16   760   824     2   0   0
17   792   824     2   0   0
data/sessions/maps/pool/moderate/moderate_corners_ll_02/moderate_corners_ll_02.a7t    xy:(2048, 2048), playable:(203, 203, 1853, 1853)
       x     y  type  id  sz
0   1456   224     1   1   2
1    608  1448     1   0   1
2    648  1408     2   0   0
3   1160   912     1   0   1
4   1456  1456     1   1   2
5    992   224     1   0   0
6    224  1072     1   0   2
7   1648   992     1   0   0
8   1456   992     1   3   0
9   1456   608     1   0   2
10  1184   336     1   0   1
11  1072  1456     1   0   2
12   224  1456     1   1   2
13   608   224     1   0   2
14   880  1456     1   3   0
15   640   912     1   0   1
16   336   608     1   0   1
17   224   224     1   1   2
18   416   880     1   3   0
19  1456  1184     1   0   1
20   936   936     1   4   0
21   880  1648     1   0   0
22   992   416     1   3   0
23   224   880     1   0   0
24  1416  1408     2   0   0
25   648   648     2   0   0
26  1416   648     2   0   0
data/sessions/maps/pool/moderate/moderate_corners_lm_01/moderate_corners_lm_01.a7t    xy:(2048, 2048), playable:(203, 203, 1853, 1853)
       x     y  type  id  sz
0   1456   224     1   1   2
1    608  1448     1   0   1
2    648  1408     2   0   0
3   1200   952     1   0   0
4   1456  1456     1   1   2
5    992   224     1   0   0
6    272  1120     1   0   1
7   1648   992     1   0   0
8   1456   992     1   3   0
9   1512   656     1   0   1
10  1184   336     1   0   1
11  1128  1504     1   0   1
12   224  1456     1   1   2
13   664   272     1   0   1
14   880  1456     1   3   0
15  1416   648     2   0   0
16   336   608     1   0   1
17   224   224     1   1   2
18   416   880     1   3   0
19  1456  1184     1   0   1
20   936   960     1   4   0
21   880  1648     1   0   0
22   992   416     1   3   0
23   224   880     1   0   0
24  1416  1408     2   0   0
25   648   648     2   0   0
26   680   952     1   0   0
data/sessions/maps/pool/moderate/moderate_corners_ls_01/moderate_corners_ls_01.a7t    xy:(2048, 2048), playable:(203, 203, 1853, 1853)
       x     y  type  id  sz
0    272   280     1   1   1
1    608  1448     1   0   1
2    648  1408     2   0   0
3   1200   952     1   0   0
4   1512   280     1   1   1
5    992   224     1   0   0
6   1496  1224     1   0   0
7   1648   992     1   0   0
8   1456   992     1   3   0
9    368   648     1   0   0
10  1184   336     1   0   1
11  1128  1504     1   0   1
12  1520  1512     1   1   1
13   664   272     1   0   1
14   880  1456     1   3   0
15  1416   648     2   0   0
16   312  1160     1   0   0
17   272  1512     1   1   1
18   416   880     1   3   0
19  1552   696     1   0   0
20   968   944     1   4   0
21   880  1648     1   0   0
22   992   416     1   3   0
23   224   880     1   0   0
24  1416  1408     2   0   0
25   648   648     2   0   0
26   672   920     1   0   1
data/sessions/maps/pool/moderate/moderate_corners_ml_01/moderate_corners_ml_01.a7t    xy:(1536, 1536), playable:(50, 50, 1486, 1486)
       x     y  type  id  sz
0   1176   968     2   0   0
1    672   712     1   4   0
2     56  1096     1   1   2
3     64    56     1   1   2
4   1096  1096     1   1   2
5   1096    56     1   1   2
6    864   824     1   0   1
7    384   576     2   0   0
8    440   440     1   0   1
9   1016   528     2   0   0
10  1280   856     1   3   0
11  1096   440     1   0   2
12   480  1096     1   0   0
13   480  1288     1   3   0
14   688  1096     1   0   2
15    64   472     1   3   0
16   880   256     1   0   0
17   880    56     1   3   0
18   520  1008     2   0   0
19    56   704     1   0   2
20   472    56     1   0   2
data/sessions/maps/pool/moderate/moderate_corners_mm_01/moderate_corners_mm_01.a7t    xy:(1536, 1536), playable:(100, 100, 1436, 1436)
       x     y  type  id  sz
0    512  1016     2   0   0
1    664   672     1   4   0
2    112  1040     1   1   2
3    112   112     1   1   2
4   1040  1040     1   1   2
5   1040   112     1   1   2
6    536  1040     1   0   1
7    224   528     1   0   1
8    728   224     1   0   1
9   1040   728     1   0   1
10   848  1040     1   3   0
11   848  1232     1   0   0
12   112   848     1   0   0
13   304   848     1   3   0
14   496   112     1   0   0
15   496   304     1   3   0
16  1232   496     1   0   0
17  1040   496     1   3   0
18   512   512     2   0   0
19  1024   512     2   0   0
20  1016  1016     2   0   0
data/sessions/maps/pool/moderate/moderate_corners_ms_01/moderate_corners_ms_01.a7t    xy:(1536, 1536), playable:(100, 100, 1436, 1436)
       x     y  type  id  sz
0    560  1104     2   0   0
1    664   664     1   4   0
2   1096   968     2   0   0
3   1008   416     1   3   0
4    968   440     2   0   0
5    432   560     2   0   0
6    416  1136     1   0   1
7    128   416     1   0   1
8    848   128     1   0   1
9   1136   848     1   0   1
10   928  1008     1   3   0
11   928  1216     1   0   0
12   128   928     1   0   0
13   336   928     1   3   0
14   416   128     1   0   0
15   416   336     1   3   0
16  1216   416     1   0   0
17   128  1136     1   1   1
18   128   128     1   1   1
19  1136  1136     1   1   1
20  1136   128     1   1   1
21   624   232     1   0   0
22   240   720     1   0   0
23   720  1112     1   0   0
24  1112   624     1   0   0
data/sessions/maps/pool/moderate/moderate_corners_sl_01/moderate_corners_sl_01.a7t    xy:(1408, 1408), playable:(25, 25, 1383, 1383)
       x     y  type  id  sz
0     32   992     1   1   2
1     32    32     1   1   2
2    992   992     1   1   2
3    992    32     1   1   2
4    568  1104     1   0   1
5    568    32     1   0   1
6     32   560     1   0   1
7   1104   560     1   0   1
8    496   912     1   3   0
9    304   720     1   0   0
10   304   496     1   3   0
11   496   304     1   0   0
12   720   912     1   0   0
13   912   720     1   3   0
14   720   304     1   3   0
15   912   496     1   0   0
16   608   608     1   4   0
17   520   888     2   0   0
18   520   520     2   0   0
19   888   888     2   0   0
20   888   520     2   0   0
data/sessions/maps/pool/moderate/moderate_corners_sm_01/moderate_corners_sm_01.a7t    xy:(1408, 1408), playable:(35, 35, 1373, 1373)
       x     y  type  id  sz
0    944   192     1   1   1
1    192   192     1   1   1
2    944   944     1   1   1
3    192   944     1   1   1
4    568  1096     1   0   1
5    568    40     1   0   1
6     40   560     1   0   1
7   1096   560     1   0   1
8    504   904     1   3   0
9    312   712     1   0   0
10   312   504     1   3   0
11   504   312     1   0   0
12   712   904     1   0   0
13   904   712     1   3   0
14   712   312     1   3   0
15   904   504     1   0   0
16   616   600     1   4   0
17   480   936     2   0   0
18   472   472     2   0   0
19   928   936     2   0   0
20   936   472     2   0   0
data/sessions/maps/pool/moderate/moderate_corners_ss_01/moderate_corners_ss_01.a7t    xy:(1408, 1408), playable:(100, 100, 1308, 1308)
       x     y  type  id  sz
0    968   168     1   1   1
1    168   168     1   1   1
2    952   952     1   1   1
3    184   952     1   1   1
4    960   456     2   0   0
5    464   944     2   0   0
6    448   456     2   0   0
7    944   944     2   0   0
8    488  1064     1   3   0
9    152   728     1   0   0
10   152   488     1   3   0
11   488   152     1   0   0
12   728  1064     1   0   0
13  1064   728     1   3   0
14   728   152     1   3   0
15  1064   488     1   0   0
16   608   600     1   4   0
17   608   824     1   0   0
18   384   600     1   0   0
19   832   600     1   0   0
20   608   376     1   0   0
data/sessions/maps/pool/moderate/moderate_islandarc_ll_01/moderate_islandarc_ll_01.a7t    xy:(2560, 2560), playable:(200, 200, 2360, 2360)
       x     y  type  id  sz
0   1368   424     1   0   2
1    216   216     1   1   2
2   1592   808     1   1   2
3   1920  1576     1   1   2
4    984   448     1   1   2
5    600   416     1   0   2
6   1776  1192     1   0   2
7   1752  1480     2   0   0
8   1944  1960     1   0   2
9   1752   536     1   0   1
10  1320   832     1   0   1
11   584  2008     1   0   1
12  1048   832     1   0   1
13   328   600     1   0   1
14   360  1696     1   0   1
15   648   840     1   3   0
16  1976  1000     1   3   0
17   856   832     1   3   0
18  2160  1384     1   3   0
19   984   256     1   3   0
20  1584  1192     1   3   0
21   368  2032     1   4   0
22   656  1784     1   0   0
23  1728  1600     1   3   0
24   712   816     2   0   0
25   744   816     2   0   0
26  1752  1512     2   0   0
data/sessions/maps/pool/moderate/moderate_islandarc_lm_01/moderate_islandarc_lm_01.a7t    xy:(2560, 2560), playable:(200, 200, 2360, 2360)
       x     y  type  id  sz
0   1392   624     1   0   1
1    264   240     1   1   2
2   1616   896     1   1   2
3   1920  1664     1   1   2
4    976   432     1   1   2
5    656   464     1   0   1
6   1768  1280     1   0   2
7    800   752     2   0   0
8   2016  2048     1   0   1
9   1712   696     1   0   0
10  1344   944     1   0   1
11   584  2008     1   0   1
12  1072   816     1   0   1
13   376   632     1   0   1
14   360  1696     1   0   1
15   688   760     1   3   0
16  2000  1032     1   3   0
17   880   816     1   3   0
18  2152  1400     1   3   0
19   784   272     1   3   0
20  1576  1280     1   3   0
21   360  2040     1   4   0
22   656  1784     1   0   0
23  1728  1664     1   3   0
24   768   752     2   0   0
25  1712  1568     2   0   0
26  1712  1536     2   0   0
data/sessions/maps/pool/moderate/moderate_islandarc_ls_01/moderate_islandarc_ls_01.a7t    xy:(2560, 2560), playable:(200, 200, 2360, 2360)
       x     y  type  id  sz
0   1264   552     1   0   1
1    312   376     1   1   1
2   1640   960     1   1   1
3   1960  1624     1   1   1
4    960   512     1   1   1
5    600   392     1   0   1
6    312  1872     1   0   2
7    736   680     2   0   0
8   2064  1896     1   0   0
9   1640   744     1   0   0
10  1136   824     1   0   0
11   472   672     1   3   0
12  1368   824     1   0   1
13   384  1648     1   0   0
14  1848  1328     1   0   1
15   728   688     1   3   0
16  1920  1128     1   3   0
17   928   792     1   3   0
18  2128  1424     1   3   0
19   880   320     1   3   0
20  1632  1248     1   3   0
21   704  1784     1   4   0
22   768   680     2   0   0
23  1832  1464     2   0   0
24  1832  1432     2   0   0
data/sessions/maps/pool/moderate/moderate_islandarc_ml_01/moderate_islandarc_ml_01.a7t    xy:(2048, 2048), playable:(200, 200, 1848, 1848)
       x     y  type  id  sz
0    216  1448     1   0   2
1    600  1256     1   4   0
2   1448  1448     1   1   2
3    216   216     1   1   2
4    680   504     1   1   2
5   1160   984     1   1   2
6   1560  1160     1   0   1
7    616   216     1   0   1
8    400   616     1   0   1
9   1080   696     1   0   1
10  1240  1384     1   3   0
11  1240  1592     1   3   0
12   904   296     1   3   0
13  1560   952     1   3   0
14  1080   496     1   3   0
15  1360   776     1   3   0
16  1488  1408     2   0   0
17  1520  1408     2   0   0
18   640   576     2   0   0
19   640   544     2   0   0
data/sessions/maps/pool/moderate/moderate_islandarc_mm_01/moderate_islandarc_mm_01.a7t    xy:(2048, 2048), playable:(200, 200, 1848, 1848)
       x     y  type  id  sz
0    216  1448     1   0   2
1    600  1248     1   4   0
2   1272  1368     1   1   1
3    672   488     2   0   0
4    696   504     1   0   2
5   1160   968     1   0   2
6   1560  1096     1   1   1
7    680   216     1   1   1
8    408   504     1   1   1
9   1096   680     1   0   1
10  1560  1384     1   3   0
11  1560  1592     1   3   0
12   888   968     1   3   0
13   688   512     2   0   0
14  1096   480     1   3   0
15  1376   760     1   3   0
16  1536  1360     2   0   0
17  1568  1376     2   0   0
18   472   296     1   3   0
19   264   296     1   3   0
20   216   504     1   3   0
21  1352  1640     1   3   0
data/sessions/maps/pool/moderate/moderate_islandarc_ms_01/moderate_islandarc_ms_01.a7t    xy:(2048, 2048), playable:(200, 200, 1848, 1848)
       x     y  type  id  sz
0    216  1448     1   0   2
1    600  1256     1   4   0
2   1208  1240     1   1   1
3    784   552     2   0   0
4    816   576     1   0   1
5   1208   960     1   0   1
6   1488   960     1   1   1
7    816   296     1   1   1
8    536   576     1   1   1
9   1096   680     1   0   1
10  1496  1488     1   3   0
11  1496  1280     1   3   0
12   888   968     1   3   0
13   800   520     2   0   0
14  1096   480     1   3   0
15  1376   760     1   3   0
16  1496  1272     2   0   0
17  1512  1248     2   0   0
18   576   376     1   3   0
19   368   376     1   3   0
20   328   584     1   3   0
21  1288  1528     1   3   0
data/sessions/maps/pool/moderate/moderate_islandarc_sl_01/moderate_islandarc_sl_01.a7t    xy:(1536, 1536), playable:(100, 100, 1436, 1436)
       x     y  type  id  sz
0    536   544     2   0   0
1    304   232     1   1   1
2   1104  1232     1   3   0
3    768   112     1   3   0
4   1232   576     1   3   0
5    576   112     1   0   0
6   1232   768     1   0   0
7    112   248     1   3   0
8    848   304     1   0   2
9    448   848     1   4   0
10  1040   960     1   1   1
11   576   304     1   1   1
12   960   688     1   1   1
13   112  1040     1   0   2
14   504   544     2   0   0
15  1000  1032     2   0   0
16  1000  1000     2   0   0
data/sessions/maps/pool/moderate/moderate_islandarc_sm_01/moderate_islandarc_sm_01.a7t    xy:(1536, 1536), playable:(100, 100, 1436, 1436)
       x     y  type  id  sz
0    936  1152     2   0   0
1    304   112     1   1   1
2   1200  1232     1   3   0
3    576   152     1   3   0
4   1184   768     1   3   0
5    384   384     1   0   0
6    960   960     1   0   0
7    112   152     1   3   0
8    304   848     1   0   2
9    112  1232     1   4   0
10  1152   960     1   1   1
11   576   344     1   1   1
12   912   688     1   1   1
13   720   616     1   0   0
14   872   464     1   0   0
15   968  1184     2   0   0
16   392   608     2   0   0
17   360   576     2   0   0
data/sessions/maps/pool/moderate/moderate_islandarc_ss_01/moderate_islandarc_ss_01.a7t    xy:(1536, 1536), playable:(100, 100, 1436, 1436)
       x     y  type  id  sz
0    936  1152     2   0   0
1    304   112     1   1   1
2   1200  1232     1   3   0
3    576   152     1   3   0
4   1184   768     1   3   0
5    384   384     1   0   0
6    960   960     1   0   0
7    112   152     1   3   0
8    872   464     1   0   0
9    384   960     1   4   0
10  1152   960     1   1   1
11   576   344     1   1   1
12   912   688     1   1   1
13   720   616     1   0   0
14   112  1152     1   0   1
15   968  1184     2   0   0
16   360   576     2   0   0
17   392   608     2   0   0
data/sessions/maps/pool/moderate/moderate_snowflake_ll_02/moderate_snowflake_ll_02.a7t    xy:(2048, 2048), playable:(203, 203, 1853, 1853)
       x     y  type  id  sz
0   1456   400     1   1   2
1    320  1656     1   0   0
2    600  1280     2   0   0
3    216   408     1   1   2
4   1456  1264     1   1   2
5   1448  1272     2   0   0
6   1216   304     1   3   0
7   1224  1560     1   3   0
8    640   296     1   3   0
9    928   920     1   4   0
10  1456   784     2   0   0
11   840  1456     1   0   2
12   216  1272     1   1   2
13   832   216     1   0   2
14   648  1560     1   3   0
15   312   216     1   0   0
16  1544  1648     1   0   0
17  1560   208     1   0   0
18   600   784     2   0   0
19   216  1080     1   0   0
20   216   792     1   0   0
21  1648  1072     1   0   0
22  1648   784     1   0   0
23   624  1064     1   0   1
24  1160  1072     1   0   1
25   624   680     1   0   1
26  1160   680     1   0   1
